replica,turn,population,sigma,network,base_SS,true_model,modelcompare,orig_type,selected_model,prop_t_mod,old_model,init_g_true,final_g,final_g_true,replicated
1,307,All,0.2,None,100,2,5,1,11,0,2,1,2,1,1
1,308,All,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,309,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,310,All,0.2,None,100,2,5,1,1,0,2,1,2,1,1
1,311,All,0.2,None,100,2,5,2,4,0,2,1,4,0,0
1,312,All,0.2,None,100,2,5,2,3,0,4,0,4,0,0
1,313,All,0.2,None,100,2,5,2,2,1,4,0,2,1,0
1,314,All,0.2,None,100,2,5,1,4,0,2,1,2,1,1
1,315,All,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,316,All,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,317,All,0.2,None,100,2,5,4,6,0,2,1,2,1,0
1,318,All,0.2,None,100,2,5,4,13,0,2,1,2,1,0
1,319,All,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,320,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,321,All,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,322,All,0.2,None,100,2,5,4,3,0,2,1,2,1,0
1,323,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,324,All,0.2,None,100,2,5,4,10,0,2,1,2,1,0
1,325,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,326,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,327,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,328,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,329,All,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,330,All,0.2,None,100,2,5,4,7,0,2,1,2,1,0
1,331,All,0.2,None,100,2,5,4,5,0,2,1,2,1,0
1,332,All,0.2,None,100,2,5,1,5,0,2,1,2,1,1
1,333,All,0.2,None,100,2,5,1,5,0,2,1,2,1,1
1,334,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,335,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,336,All,0.2,None,100,2,5,4,9,0,2,1,2,1,0
1,337,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,338,All,0.2,None,100,2,5,1,5,0,2,1,2,1,1
1,339,All,0.2,None,100,2,5,2,4,0,2,1,2,1,0
1,340,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,341,All,0.2,None,100,2,5,4,12,0,2,1,2,1,0
1,342,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,343,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,344,All,0.2,None,100,2,5,1,5,0,2,1,2,1,1
1,345,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,346,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,347,All,0.2,None,100,2,5,1,1,0,2,1,2,1,1
1,348,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,349,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,350,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,351,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,352,All,0.2,None,100,2,5,4,1,0,2,1,2,1,0
1,353,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,354,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,355,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,356,All,0.2,None,100,2,5,3,5,0,2,1,2,1,0
1,357,All,0.2,None,100,2,5,2,1,0,2,1,2,1,0
1,358,All,0.2,None,100,2,5,4,11,0,2,1,2,1,0
1,359,All,0.2,None,100,2,5,4,8,0,2,1,2,1,0
