replica,network,population,true_model,sigma,net_size,colab_cond,TAT
38,Lattice,All,13,0.2,484,NOLAB,0.8276455108289058
39,Lattice,All,13,0.2,484,NOLAB,0.8329645777748855
40,Lattice,All,13,0.2,484,NOLAB,0.8350206793031314
41,Lattice,All,13,0.2,484,NOLAB,0.8250171313989799
42,Lattice,All,13,0.2,484,NOLAB,0.8445492686889391
43,Lattice,All,13,0.2,484,NOLAB,0.8501335420561938
44,Lattice,All,13,0.2,484,NOLAB,0.8524936581092672
45,Lattice,All,13,0.2,484,NOLAB,0.8163148819787146
46,Lattice,All,13,0.2,484,NOLAB,0.8418430429964278
47,Lattice,All,13,0.2,484,NOLAB,0.827489339220348
48,Lattice,All,13,0.2,484,NOLAB,0.8538603285002736
49,Lattice,All,13,0.2,484,NOLAB,0.8323484860552576
50,Lattice,All,13,0.2,484,NOLAB,0.8387310836859947
1,Lattice,All,2,0.2,484,COLAB,0.8128640513912446
2,Lattice,All,2,0.2,484,COLAB,0.8109108336381063
3,Lattice,All,2,0.2,484,COLAB,0.8368924383941628
4,Lattice,All,2,0.2,484,COLAB,0.8230850850614824
5,Lattice,All,2,0.2,484,COLAB,0.7820074830234778
6,Lattice,All,2,0.2,484,COLAB,0.8098682607245187
7,Lattice,All,2,0.2,484,COLAB,0.8193042552837687
8,Lattice,All,2,0.2,484,COLAB,0.8017922381948913
9,Lattice,All,2,0.2,484,COLAB,0.7952313653921292
10,Lattice,All,2,0.2,484,COLAB,0.8068494494445398
11,Lattice,All,2,0.2,484,COLAB,0.7940787845796011
12,Lattice,All,2,0.2,484,COLAB,0.8172570310144665
13,Lattice,All,2,0.2,484,COLAB,0.7996320515299168
14,Lattice,All,2,0.2,484,COLAB,0.8276152755104771
15,Lattice,All,2,0.2,484,COLAB,0.8000946246267102
16,Lattice,All,2,0.2,484,COLAB,0.810173193780833
17,Lattice,All,2,0.2,484,COLAB,0.7999339973746442
18,Lattice,All,2,0.2,484,COLAB,0.822872621564482
19,Lattice,All,2,0.2,484,COLAB,0.7712952129707602
20,Lattice,All,2,0.2,484,COLAB,0.8240230739692657
21,Lattice,All,2,0.2,484,COLAB,0.7999842926876419
22,Lattice,All,2,0.2,484,COLAB,0.779787373156188
23,Lattice,All,2,0.2,484,COLAB,0.8158995943254259
24,Lattice,All,2,0.2,484,COLAB,0.7950572863581103
25,Lattice,All,2,0.2,484,COLAB,0.7930230688851378
26,Lattice,All,2,0.2,484,COLAB,0.8277238124849555
27,Lattice,All,2,0.2,484,COLAB,0.8087473076448654
28,Lattice,All,2,0.2,484,COLAB,0.8308129011421781
29,Lattice,All,2,0.2,484,COLAB,0.8018572825024438
30,Lattice,All,2,0.2,484,COLAB,0.8309402341193863
31,Lattice,All,2,0.2,484,COLAB,0.8299676556951091
32,Lattice,All,2,0.2,484,COLAB,0.8135939344746163
33,Lattice,All,2,0.2,484,COLAB,0.81186322095413
34,Lattice,All,2,0.2,484,COLAB,0.8017922381948913
35,Lattice,All,2,0.2,484,COLAB,0.8269981679999422
36,Lattice,All,2,0.2,484,COLAB,0.8243453739760978
37,Lattice,All,2,0.2,484,COLAB,0.8072758442332841
38,Lattice,All,2,0.2,484,COLAB,0.8047526788427791
39,Lattice,All,2,0.2,484,COLAB,0.7862385901536034
40,Lattice,All,2,0.2,484,COLAB,0.8045867768595041
