replica,network,population,true_model,sigma,net_size,colab_cond,TAT,TAT50
25,Lattice,All,7,0.2,413,NOLAB,0.8211771038149324,0.9259559300064809
26,Lattice,All,7,0.2,413,NOLAB,0.8259097684141519,0.9366219667943806
27,Lattice,All,7,0.2,413,NOLAB,0.8042963015087592,0.9278401585204755
28,Lattice,All,7,0.2,413,NOLAB,0.8212603219999164,0.9309566059041781
29,Lattice,All,7,0.2,413,NOLAB,0.7882123528045486,0.9024310118265441
30,Lattice,All,7,0.2,413,NOLAB,0.7803142561921127,0.8949141124957898
31,Lattice,All,7,0.2,413,NOLAB,0.8052913160565451,0.9171617161716171
32,Lattice,All,7,0.2,413,NOLAB,0.79917059562878,0.9282630355363667
33,Lattice,All,7,0.2,413,NOLAB,0.8084113713925927,0.9313676495085791
34,Lattice,All,7,0.2,413,NOLAB,0.7890684858994325,0.8960973137354283
35,Lattice,All,7,0.2,413,NOLAB,0.7930138273359998,0.9004576659038902
36,Lattice,All,7,0.2,413,NOLAB,0.7869174223361661,0.9106209150326797
37,Lattice,All,7,0.2,413,NOLAB,0.8039008445827237,0.9213390501319261
38,Lattice,All,7,0.2,413,NOLAB,0.8219773546557111,0.9254638515674984
39,Lattice,All,7,0.2,413,NOLAB,0.8202044041405471,0.9405778069599475
40,Lattice,All,7,0.2,413,NOLAB,0.8074549992203374,0.9262830990519778
41,Lattice,All,7,0.2,413,NOLAB,0.7962356952226585,0.9129431162407254
42,Lattice,All,7,0.2,413,NOLAB,0.8106185934411826,0.9333223575897267
43,Lattice,All,7,0.2,413,NOLAB,0.8018370507739662,0.911042944785276
44,Lattice,All,7,0.2,413,NOLAB,0.8139804709616419,0.9289122922494651
45,Lattice,All,7,0.2,413,NOLAB,0.7946108226962415,0.9146701673777486
46,Lattice,All,7,0.2,413,NOLAB,0.8107597585733453,0.9247172859450727
47,Lattice,All,7,0.2,413,NOLAB,0.8018021394059033,0.9122982193376602
48,Lattice,All,7,0.2,413,NOLAB,0.8050900556475936,0.9269568151147098
49,Lattice,All,7,0.2,413,NOLAB,0.8005341084085953,0.9159622078567876
50,Lattice,All,7,0.2,413,NOLAB,0.7914617393560477,0.9133355727242191
1,Lattice,All,13,0.2,484,COLAB,0.8281384677787355,0.918851087562744
2,Lattice,All,13,0.2,484,COLAB,0.8104406752600523,0.8956265092567749
3,Lattice,All,13,0.2,484,COLAB,0.8321967835604199,0.9305405405405406
4,Lattice,All,13,0.2,484,COLAB,0.8204833141542002,0.9276279581728123
5,Lattice,All,13,0.2,484,COLAB,0.8310972558085975,0.9088960342979635
6,Lattice,All,13,0.2,484,COLAB,0.8385422382427675,0.9251787538304392
7,Lattice,All,13,0.2,484,COLAB,0.8224402807653118,0.933972602739726
8,Lattice,All,13,0.2,484,COLAB,0.8408207815592846,0.9390148553557467
9,Lattice,All,13,0.2,484,COLAB,0.8328848481875923,0.934178581062854
10,Lattice,All,13,0.2,484,COLAB,0.8280770778231418,0.9162011173184358
11,Lattice,All,13,0.2,484,COLAB,0.8253050994066079,0.9332971800433839
12,Lattice,All,13,0.2,484,COLAB,0.8551677733472154,0.9262937794040773
13,Lattice,All,13,0.2,484,COLAB,0.8159623884431322,0.9325418240690772
14,Lattice,All,13,0.2,484,COLAB,0.8184869223958458,0.9365622532245328
15,Lattice,All,13,0.2,484,COLAB,0.8244200603708107,0.9360892031547458
16,Lattice,All,13,0.2,484,COLAB,0.817067350880345,0.9271739130434783
17,Lattice,All,13,0.2,484,COLAB,0.8341075528007346,0.9216666666666666
18,Lattice,All,13,0.2,484,COLAB,0.8314662067126927,0.9165739710789766
19,Lattice,All,13,0.2,484,COLAB,0.8200295319798778,0.9092391304347827
20,Lattice,All,13,0.2,484,COLAB,0.8269129880836393,0.9392690299532839
